3000001|145618|F|30175.88|1992-12-17|4-NOT SPECIFIED|Clerk#000000141|0|l packages. furiously careful instructions grow furi
3000002|1481|O|297999.63|1995-07-28|1-URGENT|Clerk#000000547|0|carefully unusual dependencie
3000003|127432|O|345438.38|1997-11-04|5-LOW|Clerk#000000488|0|n packages boost slyly bold deposits. deposits around the ironic th
3000004|47423|O|135965.53|1996-06-13|4-NOT SPECIFIED|Clerk#000000004|0|nts wake carefully final decoys. quickly final accounts wake 
3000005|84973|F|209937.09|1992-09-12|5-LOW|Clerk#000000030|0|yly after the quickly unusual ide
3000006|135136|O|140186.32|1996-09-26|1-URGENT|Clerk#000000726|0|ronic pinto beans use furiously final, slow notorn
3000007|78841|F|298655.07|1992-04-13|5-LOW|Clerk#000000871|0|ses eat. deposits wake
3000032|124576|F|175973.90|1992-03-02|1-URGENT|Clerk#000000460|0|lar deposits mold carefully against the dep
3000033|30247|F|4635.38|1993-11-10|1-URGENT|Clerk#000000923|0|mes special packages nag quickly. 
3000034|5498|F|348308.79|1992-04-21|1-URGENT|Clerk#000000418|0|lly final packages are slyly beyond the requests! regular, even courts r
3000035|1537|O|6243.05|1997-03-08|5-LOW|Clerk#000000817|0|fluffily ironic platelets sl
3000036|28564|F|46059.51|1994-03-24|5-LOW|Clerk#000000908|0|ding dinos. final, ironic dependencies across the 
3000037|46702|O|191224.65|1998-07-22|5-LOW|Clerk#000000004|0|ix slyly. bold, bold foxes haggle alongside of the slyly pending ideas. 
3000038|106394|O|108690.62|1995-08-02|3-MEDIUM|Clerk#000000112|0| ironic, bold foxes nag quickly regula
3000039|4087|F|149059.48|1993-05-15|1-URGENT|Clerk#000000518|0| packages according to 
3000064|121798|O|60227.84|1997-11-09|2-HIGH|Clerk#000000477|0|he permanently express excuses. fluffily even foxes use 
3000065|4583|O|119144.10|1995-06-21|3-MEDIUM|Clerk#000000640|0|lyly fluffily even packages. special, ironic deposits w
3000066|63059|O|50318.82|1995-06-20|5-LOW|Clerk#000000476|0|ages. accounts sleep quickly. unusual attainments around the carefully 
3000067|71731|O|252017.25|1995-11-29|3-MEDIUM|Clerk#000000981|0| even asymptotes are after the instructions. furi
3000068|30478|O|83440.47|1996-04-30|3-MEDIUM|Clerk#000000394|0|the even Tiresias cajole upo
3000069|124780|F|204465.60|1994-01-11|1-URGENT|Clerk#000000549|0|totes cajole quickly. evenly ir
3000070|1502|O|282985.48|1997-05-23|2-HIGH|Clerk#000000843|0|. slyly blithe requests integrate. enticing, silent deposit
3000071|32704|O|53017.24|1996-04-28|1-URGENT|Clerk#000000617|0|y enticing ideas. regular deposits 
3000096|50086|F|256949.58|1994-03-08|5-LOW|Clerk#000000513|0|heodolites serve fur
3000097|134090|F|128591.36|1992-01-25|4-NOT SPECIFIED|Clerk#000000338|0|rding to the final, regular package
3000098|40955|F|204238.20|1993-03-20|1-URGENT|Clerk#000000008|0|carefully regular accounts are alongside of the
3000099|121370|O|137195.73|1998-06-07|5-LOW|Clerk#000000571|0|the slyly express platelets. 
3000100|1672|O|27752.50|1997-12-03|3-MEDIUM|Clerk#000000098|0| among the furiously final pains. bravely bo
3000101|32965|F|41548.86|1993-10-31|5-LOW|Clerk#000000975|0|express deposits cajole fluffily blithely final de
3000102|76229|F|84480.71|1992-07-26|1-URGENT|Clerk#000000364|0|ully across the slyly pending dependencies. silen
3000103|18443|F|224386.24|1992-09-19|1-URGENT|Clerk#000000725|0|ly: final instructions hang along th
3000128|64820|O|173210.37|1996-10-01|4-NOT SPECIFIED|Clerk#000000525|0|s the requests. slyly ironi
3000129|116708|F|45573.34|1994-01-24|2-HIGH|Clerk#000000835|0|s impress alongside of the silent pinto beans. carefully regular accounts
3000130|97072|O|261980.12|1997-11-04|1-URGENT|Clerk#000000577|0|ts. ironic, ironic packages near the thin, even
3000131|61201|F|45617.23|1993-02-18|5-LOW|Clerk#000000982|0|s. never even asymptotes kindle carefully furiously final asymptotes. fu
3000132|45098|F|65123.13|1993-08-24|5-LOW|Clerk#000000660|0| the furiously final requ
3000133|2737|F|169439.03|1993-03-20|4-NOT SPECIFIED|Clerk#000000182|0|ing dependencies cajole afte
3000134|79576|F|218389.66|1995-01-28|2-HIGH|Clerk#000000472|0|cajole slyly. unusu
3000135|11102|P|223432.46|1995-03-20|5-LOW|Clerk#000000191|0|furiously express deposits are ideas. regu
3000160|133483|O|48537.09|1997-11-22|1-URGENT|Clerk#000000682|0|as wake carefully a
3000161|21512|F|244815.34|1994-08-12|5-LOW|Clerk#000000815|0|egular dolphins. packages use fluffily even theodolites. quickl
3000162|51400|O|9712.10|1995-09-26|4-NOT SPECIFIED|Clerk#000000556|0|kages mold boldly about the furiously special 
3000163|24526|F|179022.52|1994-02-10|4-NOT SPECIFIED|Clerk#000000869|0|ithely quickly expr
3000164|147946|O|92448.56|1997-01-19|1-URGENT|Clerk#000000408|0|theodolites. even deposits use slyly regular pinto beans. 
3000165|107611|O|104787.96|1997-06-20|3-MEDIUM|Clerk#000000463|0|ash fluffily furious excuses. furiously final theodolites u
3000166|61285|O|216512.80|1995-06-29|3-MEDIUM|Clerk#000000986|0|nal packages serve ironic
3000167|90431|F|198027.25|1994-06-13|4-NOT SPECIFIED|Clerk#000000095|0|o beans. ironic ideas wake slowly slyly s
3000192|61987|O|140123.69|1996-05-15|3-MEDIUM|Clerk#000000084|0|. slyly even requests alongside of the
3000193|55609|O|250411.63|1998-03-29|5-LOW|Clerk#000000318|0|eed to sleep furiously-- quickly final deposits 
3000194|104387|O|156088.17|1997-10-20|3-MEDIUM|Clerk#000000846|0|ons haggle quickly. accounts among the even deposits integrate slyly
3000195|26449|F|57082.09|1995-03-03|3-MEDIUM|Clerk#000000189|0| use quickly among the furiously pending dependencies. blithely ir
3000196|50902|F|236828.04|1993-06-17|1-URGENT|Clerk#000000378|0|lites haggle above the express dolphins. re
3000197|52552|F|95273.62|1994-08-24|3-MEDIUM|Clerk#000000171|0|hely. ironic requests a
3000198|17324|F|213889.60|1992-09-07|2-HIGH|Clerk#000000250|0|o beans haggle blithely. regular
3000199|4886|O|145324.95|1996-01-21|4-NOT SPECIFIED|Clerk#000000063|0|sly pending deposits are permanently furious
3000224|58726|F|149237.46|1992-06-08|3-MEDIUM|Clerk#000000456|0|rate according to the slyly special platelets. slyly ironic dolphi
3000225|1021|O|103153.47|1998-07-28|1-URGENT|Clerk#000000209|0|ding to the quickly ironic theodolites. express multip
3000226|59683|F|131562.00|1993-05-29|2-HIGH|Clerk#000000406|0|mptotes nag carefully according to the regular, brave depos
3000227|32780|F|235022.62|1994-06-05|4-NOT SPECIFIED|Clerk#000000600|0|sts haggle blithely alongside of the bravely ironic accounts. qu
3000228|132364|F|48316.52|1992-03-09|4-NOT SPECIFIED|Clerk#000000545|0|ang slyly. unusual accounts boost blithely regula
3000229|120799|O|314003.10|1996-10-24|4-NOT SPECIFIED|Clerk#000000007|0|y even, final instructions
3000230|8087|O|303863.87|1998-03-09|5-LOW|Clerk#000000689|0|e the carefully final ideas. slyly regular deposits are slyly 
3000231|7108|O|236419.48|1997-09-03|1-URGENT|Clerk#000000243|0|r theodolites use quickly furiously special deposits. unusual, even ideas
3000256|32149|O|103391.31|1998-03-16|1-URGENT|Clerk#000000328|0|ly among the accounts. slyly 
3000257|148376|O|330193.29|1996-04-04|2-HIGH|Clerk#000000875|0|, bold accounts. carefully bold theodoli
3000258|146728|F|128727.92|1992-09-26|3-MEDIUM|Clerk#000000046|0| carefully final ideas. darin
3000259|54917|F|41217.29|1993-09-16|3-MEDIUM|Clerk#000000958|0|ecial, final theodolites are unusual, express
